name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chicago, IL, United States",2024-10-11,83.1,53.8,68,81,53.8,67.7,44.9,46.2,0,0,0,,0,0,24.9,15.5,230,1018.6,43.1,9.9,48.1,4.2,4,10,2024-10-11T06:59:01,2024-10-11T18:14:35,0.3,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-12,70.6,60.8,64.3,70.6,60.8,64.3,52.2,64.9,0,0,0,,0,0,31.9,20.3,53.8,1015,81.3,9.9,44.8,3.8,4,10,2024-10-12T07:00:09,2024-10-12T18:12:58,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-13,66.2,51.6,59.7,66.2,51.6,59.7,46.1,62.3,0,0,0,,0,0,39.1,23.5,307.7,1010,87.7,9.9,42.4,3.8,4,10,2024-10-13T07:01:16,2024-10-13T18:11:22,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-14,57.4,45.3,50.9,57.4,40,48.1,37.4,61.6,0.04,100,12.5,rain,0,0,37.5,21.1,330.3,1018.1,80,9.7,24.8,2.1,1,10,2024-10-14T07:02:24,2024-10-14T18:09:46,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-15,47.8,42.5,45,42.3,34.8,38.7,37,74.1,0.354,100,58.33,rain,0,0,35.2,20.5,344.4,1023.5,72.5,9.6,15.2,1.2,1,10,2024-10-15T07:03:33,2024-10-15T18:08:11,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-16,57.8,37.6,47.2,57.8,31.4,44.1,30.8,55.4,0,0,0,,0,0,23.5,12.4,327.8,1028.9,25.5,9.9,50.2,4.4,5,10,2024-10-16T07:04:41,2024-10-16T18:06:37,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-17,64.7,37.7,50.9,64.7,34.1,49.8,29.7,47.2,0,0,0,,0,0,22.6,11.9,201.5,1026.7,6.3,9.9,69.2,5.8,6,10,2024-10-17T07:05:50,2024-10-17T18:05:04,0.5,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-18,68.8,43.8,56,68.8,41.5,55.2,32.6,42.7,0,0,0,,0,0,22.4,12.9,187.8,1029.7,5.3,9.9,65.8,5.7,6,10,2024-10-18T07:07:00,2024-10-18T18:03:32,0.54,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-19,71.6,45.9,58.3,71.6,44.2,58,38,49,0,0,0,,0,0,16.1,11,203.8,1030.7,20.6,9.9,66,5.7,6,10,2024-10-19T07:08:09,2024-10-19T18:02:01,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-20,78.3,50.9,63.9,78.3,50.9,63.9,38.6,41.8,0,0,0,,0,0,23,13.4,216.4,1026,0,9.9,62.8,5.4,5,10,2024-10-20T07:09:19,2024-10-20T18:00:31,0.61,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-21,81.7,54.5,67.4,79.7,54.5,67.2,39.9,38.8,0,0,0,,0,0,21.9,12.6,213.4,1022.2,25.1,9.9,67.1,5.8,5,10,2024-10-21T07:10:30,2024-10-21T17:59:02,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-22,73.6,54.4,65.4,73.6,54.4,65.4,42.1,43.6,0.002,100,8.33,rain,0,0,31.4,16.6,190.1,1015.9,67.8,9.9,24.6,2,2,10,2024-10-22T07:11:40,2024-10-22T17:57:34,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-23,65.4,48.8,59.5,65.4,48.8,59.5,41.3,52.2,0,0,0,,0,0,25.3,15.7,305.3,1017.5,38.8,9.9,54.3,4.7,5,10,2024-10-23T07:12:51,2024-10-23T17:56:06,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-24,64.1,41.3,53.5,64.1,39,53.1,35.2,52.4,0,0,0,,0,0,20.6,13.3,190.8,1020.3,34.9,9.9,53.6,4.6,6,10,2024-10-24T07:14:02,2024-10-24T17:54:41,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-25,67,49.6,56.3,67,46,56.1,44.8,67.7,0.731,100,37.5,rain,0,0,27.3,13.6,305.3,1019.1,66.8,9.2,49.6,4.2,5,10,2024-10-25T07:15:14,2024-10-25T17:53:16,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK,KIGQ"
"Chicago, IL, United States",2024-10-26,57.5,44.3,49.8,57.5,39.9,48.2,31.6,51.1,0,0,0,,0,0,23,12.4,358.6,1030.6,34.1,9.9,58,5,6,10,2024-10-26T07:16:26,2024-10-26T17:51:52,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-27,58.9,38.7,49.2,58.9,38.7,48.7,31.9,54,0,0,0,,0,0,16.6,7.8,197.4,1027.8,29.6,9.9,48.9,4.2,6,10,2024-10-27T07:17:38,2024-10-27T17:50:30,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-28,66.7,44.3,56.2,66.7,41.1,54.9,35.4,46.7,0,0,0,,0,0,29.9,15.2,165.7,1019.5,69.3,9.9,41.2,3.6,3,10,2024-10-28T07:18:50,2024-10-28T17:49:09,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-29,82.7,66.5,74,82.2,66.5,74,55.3,53.1,0,0,0,,0,0,37,23.9,200.1,1012,83.4,9.9,40.1,3.5,5,10,2024-10-29T07:20:03,2024-10-29T17:47:49,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-30,80.3,68.9,73.6,80.5,68.9,73.6,56.2,55,0,0,0,,0,0,36.9,24.6,202.4,1014.2,76.5,9.9,39.9,3.3,3,10,2024-10-30T07:21:16,2024-10-30T17:46:31,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-10-31,72.4,45.7,60.9,72.4,37.9,59.4,49,65.3,0.025,100,12.5,rain,0,0,45.7,24.5,230.8,1010,92.5,9.9,16.9,1.4,1,10,2024-10-31T07:22:29,2024-10-31T17:45:14,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-01,53.5,39.6,45.7,53.5,35.1,42.5,32.8,61.3,0,0,0,,0,0,34.9,18.8,307,1024.7,29.7,9.9,56.1,4.9,6,10,2024-11-01T07:23:42,2024-11-01T17:43:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-02,57.6,39.7,48.1,57.6,35.7,46.6,36,64.6,0,0,0,,0,0,20.8,10.5,143.7,1028.4,45.7,9.9,47.5,4.1,5,10,2024-11-02T07:24:56,2024-11-02T17:42:44,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-03,64.6,51,57,64.6,51,57,41.7,57,0.027,100,8.33,rain,0,0,30.9,16.9,140.8,1018.5,97.7,9.9,11.2,1.1,1,10,2024-11-03T06:26:09,2024-11-03T16:41:31,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-04,68.9,63.9,65.9,68.9,63.9,65.9,61.1,84.7,0.35,100,45.83,rain,0,0,31,18.8,193.6,1010.7,99,8.7,8.4,0.8,0,10,2024-11-04T06:27:23,2024-11-04T16:40:20,0.11,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-05,67.5,61.8,64.8,67.5,61.8,64.8,61.1,87.9,1.099,100,66.67,rain,0,0,37.9,20.7,194.4,1006.1,95.4,8,8.6,0.8,1,10,2024-11-05T06:28:37,2024-11-05T16:39:11,0.15,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-06,60.9,50.4,53.2,60.9,50.4,53.2,45.6,75.6,0,0,0,,0,0,19.7,10.5,310.1,1017.5,90.2,9.9,11.1,1,0,10,2024-11-06T06:29:51,2024-11-06T16:38:03,0.18,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-07,59.9,44.6,51.5,59.9,44,50.2,37.9,60.5,0,0,0,,0,0,15.2,9.2,308.3,1026,33.3,9.9,43.9,3.8,5,10,2024-11-07T06:31:05,2024-11-07T16:36:57,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-08,63,44.1,52.6,63,40.6,51.4,38.4,61.1,0,0,0,,0,0,21.7,12.1,313,1024.9,30.3,9.9,47.7,4.3,5,10,2024-11-08T06:32:19,2024-11-08T16:35:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-09,55.1,47.5,51.8,55.1,43.7,50.9,41.7,68.4,0.117,100,20.83,rain,0,0,23.9,11.2,117.6,1022.6,81.4,9.7,14,1.3,1,10,2024-11-09T06:33:33,2024-11-09T16:34:49,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-10,62.7,49.6,54.6,62.7,45.7,54.2,47.5,78.1,0.121,100,20.83,rain,0,0,37.7,22,229.2,1010.4,92.4,8,33.2,2.9,3,10,2024-11-10T06:34:48,2024-11-10T16:33:48,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-11,58.2,45.1,51.8,58.2,39.5,50.3,38.8,61.8,0,0,0,,0,0,30.2,19.2,300,1014.4,58.9,9.9,46.3,3.9,5,10,2024-11-11T06:36:02,2024-11-11T16:32:49,0.36,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-12,49.5,43,46.4,45.7,37.2,41.4,35.1,64.9,0,0,0,,0,0,24.2,15.7,78.1,1025.9,64.1,9.9,36.7,3,3,10,2024-11-12T06:37:16,2024-11-12T16:31:51,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-13,52.4,40.4,46.7,52.4,35,43.2,36.7,69.1,0.321,100,25,rain,0,0,25.7,15.4,129.2,1018.8,87.3,8.7,25.4,2.1,2,10,2024-11-13T06:38:29,2024-11-13T16:30:56,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-14,53.9,48.6,51.6,53.9,45.3,51.1,48,87.8,0.172,100,29.17,rain,0,0,23,14.1,298.9,1010,99.9,6.6,12.4,1.1,1,10,2024-11-14T06:39:43,2024-11-14T16:30:02,0.46,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-15,53.6,46.1,49.8,53.6,45,48.3,41.5,73.5,0,0,0,,0,0,15,7.2,308.5,1019.7,84.9,9.9,13.4,1,1,10,2024-11-15T06:40:56,2024-11-15T16:29:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-16,52.1,43.6,48.8,52.1,42.3,47.3,39.3,70.1,0,0,0,,0,0,27.6,14,162.1,1019.1,91.3,9.9,23.2,1.9,1,10,2024-11-16T06:42:10,2024-11-16T16:28:21,0.53,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-17,59.6,46.6,52.8,59.6,42.9,51.2,45.9,77.6,0.01,100,16.67,rain,0,0,24.2,12.3,212.4,1013.4,86.4,9.8,29.2,2.5,2,10,2024-11-17T06:43:22,2024-11-17T16:27:33,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-18,60.5,50.5,55.4,60.5,50.5,55.4,52.3,89.7,0.364,100,29.17,rain,0,0,31.7,18.8,119.1,1010.7,95,5.3,6.8,0.5,0,10,2024-11-18T06:44:35,2024-11-18T16:26:47,0.59,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-19,63.7,48.2,58.9,63.7,44.9,58.6,49.6,71.9,0.105,100,20.83,rain,0,0,35.8,20.5,214.2,1002,69.2,9.3,25.6,2.2,2,10,2024-11-19T06:45:47,2024-11-19T16:26:03,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-20,49.3,33.8,42.5,45.3,23.7,35.8,30.8,64.2,0.023,100,12.5,rain,0,0,37.9,25.1,267.5,1009.1,84.7,9.2,32.4,2.9,2,10,2024-11-20T06:46:59,2024-11-20T16:25:22,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-21,39.5,30.5,34.4,32.5,19.5,24.9,29,80.4,0.147,100,50,"rain,snow",4,0.8,35.1,22.7,298.7,1006.9,95.6,6.8,7.7,0.8,0,10,2024-11-21T06:48:10,2024-11-21T16:24:42,0.69,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"72534014819,72212604879,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-22,47.6,36.6,43.6,42.1,30.1,37.4,36.5,76.2,0,0,0,,0,0,27.5,16.8,320.5,1015.1,94.4,9.9,18.7,1.7,1,10,2024-11-22T06:49:20,2024-11-22T16:24:05,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-23,43.5,38.7,41,38.1,32.7,35.7,34.1,76.2,0,0,0,,0,0,20.6,10.6,266.2,1017.2,99.5,9.9,21,1.8,1,10,2024-11-23T06:50:30,2024-11-23T16:23:30,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-24,52.3,37.8,45.2,52.3,32.4,42.8,37.8,75.7,0,0,0,,0,0,24.2,10.9,146.7,1013,95.5,9.3,29,2.4,2,10,2024-11-24T06:51:40,2024-11-24T16:22:57,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-25,52.9,38.6,48.4,52.9,29.8,45.7,40.6,74.6,0,0,0,,0,0,30.4,16.8,299.5,1011.4,98.6,9.3,9.5,0.7,1,10,2024-11-25T06:52:48,2024-11-25T16:22:26,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-26,39.5,26.6,34,34,17.2,26.2,20,56.9,0,0,0,,0,0,26.4,17.5,263.6,1020.7,49.4,9.9,39.5,3.5,2,10,2024-11-26T06:53:56,2024-11-26T16:21:58,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-27,43.3,36.4,39.3,43.3,30.7,36,26.6,60.5,0,0,0,,0,0,23,15.9,37.6,1013.5,96.5,9.9,20.2,1.7,1,10,2024-11-27T06:55:03,2024-11-27T16:21:31,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-28,38.1,27.9,30.4,29.2,16.5,20.6,20.1,65.5,0,0,0,,0,0,32.5,16.1,312.1,1016.6,92.3,9.9,16.5,1.5,1,10,2024-11-28T06:56:09,2024-11-28T16:21:07,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-29,28.7,19.8,23.9,18.8,8.1,11.6,10.2,55.5,0,0,0,,0,0,29.8,17.5,282.4,1021.2,84.1,9.7,23.6,2.1,1,10,2024-11-29T06:57:15,2024-11-29T16:20:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-11-30,25.9,14.8,19.9,14.7,1.5,8,7.3,58,0,0,0,,0,0,24.6,15.9,267.8,1022.3,29.9,9.9,39.4,3.4,2,10,2024-11-30T06:58:19,2024-11-30T16:20:26,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-01,27.4,14.8,20.4,17.4,2.1,10,7.1,56.1,0,0,0,,0,0,22.6,12.8,291.2,1024.9,13.3,9.9,38.1,3.2,3,10,2024-12-01T06:59:22,2024-12-01T16:20:10,0,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-02,26.2,14.7,20.4,17,6.9,12.4,12.3,70.6,0,0,0,,0,0,19.5,11,292.3,1029.9,47.1,9.9,24,2,1,10,2024-12-02T07:00:24,2024-12-02T16:19:55,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-03,31.6,18.4,23.9,22.1,9.8,13.8,15.6,70.6,0,0,0,,0,0,29.4,18.7,233.8,1030.3,57.8,9.9,33,2.7,3,10,2024-12-03T07:01:25,2024-12-03T16:19:43,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-04,39.6,19.7,30.7,31.1,5.6,19,19.3,63,0,0,0,rain,0.1,0,54.3,32.5,253.2,1009.3,70.4,9.5,16.3,1.4,1,10,2024-12-04T07:02:25,2024-12-04T16:19:33,0.12,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-05,28.9,12.5,20.6,20,-5,7.5,5.8,52.4,0,0,0,snow,0.3,0,36,23.3,303.8,1025.9,31.8,9.9,41.9,3.5,4,10,2024-12-05T07:03:23,2024-12-05T16:19:25,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-06,31.9,15.2,24.2,23.1,4.1,14.6,9,53.5,0,0,0,,0,0,26.9,16.7,236.6,1027,39.4,9.9,34.6,2.8,3,10,2024-12-06T07:04:20,2024-12-06T16:19:20,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-07,50.5,25.2,37.6,50.5,16.1,30.5,19.7,48.8,0,0,0,,0,0,32.2,19.3,222,1015.2,64.2,9.9,29.3,2.7,2,10,2024-12-07T07:05:15,2024-12-07T16:19:18,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-08,55.6,40.4,48,55.6,34.9,45.3,35.1,61.3,0,0,0,,0,0,30,13.7,218.8,1007.8,44.7,9.9,28.1,2.4,2,10,2024-12-08T07:06:10,2024-12-08T16:19:17,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
"Chicago, IL, United States",2024-12-09,54.2,44.4,49.2,54.2,37.5,45.7,35.6,62.1,0,0,0,,0,0,28.9,16.1,245.9,1006.8,74.8,9.4,23.5,2,1,10,2024-12-09T07:07:02,2024-12-09T16:19:19,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
